ulke;radarName;Lat_Deg;Lat_Min;Lat_Sec;Lat_Dir;Lon_Deg;Lon_Min;Lon_Sec;Lon_Dir;groundHeight;bands;polarization
DE;BOO;54;0;16;N;10;2;49;E;92;C;D
DE;HNR;52;27;36;N;9;41;40;E;51;C;D
DE;PRO;52;38;55;N;13;51;29;E;136;C;D
DE;FLD;51;18;40;N;8;48;7;E;553;C;D
DE;OFT;49;59;5;N;8;42;47;E;198;C;D
DE;ISN;48;10;29;N;12;6;6;E;630;C;D
DE;MEM;48;2;32;N;10;13;9;E;667;C;D
ID;Bengkulu;3;51;30;S;102;20;28;E;15;C;S
ID;Gorontalo;0;38;10;S;123;0;38;E;76;C;S
ID;Jambi;1;37;51;S;103;38;32;E;44;C;S
ID;Palu;0;40;6;S;119;49;9;E;-999;X;D
ID;Yogyakarta;7;43;53;S;110;21;15;E;-999;C;S
ID;Pangkalan Bun;2;44;11;S;111;38;25;E;-999;C;S
ID;Pangkal Pinang;2;9;42;S;106;8;11;E;-999;C;S
ID;Mataram;8;45;12;S;116;14;59;E;-999;C;S
ID;Kendari;4;3;20;S;122;26;57;E;-999;C;S
ID;Sorong;0;53;24;S;131;17;9;E;-999;C;S
ID;Merauke;8;29;34;S;140;23;19;E;-999;C;S
ID;Ternate;0;51;21;S;127;50;20;E;54;C;S
ID;Tarakan;3;18;48;S;117;34;53;E;7;C;S
ID;Pekanbaru;0;27;15;S;110;27;51;E;13;C;S
ID;Banjarmasin;3;27;44;S;114;50;27;E;55;C;S
AR;RMA3 - Las Lomitas;24;43;50;S;60;33;6;W;162;C;D
AR;RMA4 - Resistencia;27;27;7;S;59;3;4;W;84;C;D
AR;RMA5 - Bernardo de Irigoyen;26;16;41;S;53;40;15;W;806;C;D
AR;RMA6 - Mar del Plata;37;54;47;S;57;31;40;W;45;C;D
HU;Szentes;46;38;23;N;20;25;57;E;93;C;D
ZA;George;34;13;10;S;21;46;58;E;236;S;D
ZA;Cape Town Int. Airport;33;57;17;S;18;36;2;E;49;X;D
AE;Al- Yahar;24;14;8;N;55;32;22;E;202;C;D
AE;Dubai Airport;24;30;8;N;52;19;54;E;5;C;D
AE;Mobile-X;0;0;0;N;0;0;0;E;-999;X;D
AU;Newdegate WA;33;5;49;S;119;0;32;E;345;C;S
NO;Hafjell;61;13;54;N;10;31;38;E;1064;C;D
AU;South Doodlakine Radar;31;46;37;S;117;57;10;E;392;C;S
IR;Ardebil;38;53;18;N;47;56;34;E;1859;X;D
IR;Gilan;37;25;26;N;49;53;34;E;30;C;S
AU;Watheroo;30;21;37;S;116;17;23;E;342;C;S
AU;Hobart Airport;42;50;14;S;147;30;3;E;23;C;S
GE;Meteo Poti;42;10;4;N;41;41;44;E;0;X;D
FI;PET;62;18;16;N;25;26;24;E;241;C;D
FI;KES;61;54;25;N;29;47;52;E;141;C;D
RU;Velikie Luki;56;23;0;N;30;38;0;E;159;C;D
RU;Elista;46;21;0;N;44;15;0;E;245;C;D
RU;Voeikovo;59;56;0;N;30;42;0;E;110;C;D
RU;Kirov;58;27;0;N;49;20;0;E;147;C;D
RU;KOTLAS;61;14;0;N;46;42;0;E;90;C;D
RU;KURSK;51;52;0;N;36;8;0;E;307;C;D
RU;Petropavlovsk-Kamchatskiy;53;0;0;N;158;42;0;E;526;C;D
RU;Samara;52;58;0;N;49;25;0;E;70;C;D
RU;Tula;53;59;0;N;38;8;0;E;264;C;D
RU;Pulkovo, Meteor 500C;59;48;24;N;30;13;40;E;20;C;S
FR;Moucherotte;45;8;52;N;5;38;22;E;1895;X;D
NL;Herwijnen;51;50;13;N;5;8;17;E;1;C;D
CY;Rizoelia, Aradippou;34;56;11;N;33;33;59;E;117;X;D
CA;Blainville Mobile X Band;45;42;33;N;73;51;47;W;70.5;X;D
AR;RMA7 - Neuquén;38;52;36;S;68;8;43;W;-999;C;D
AR;RMA9 - Río Grande;53;47;6;S;67;45;36;W;-999;C;D
AR;RMA11 - Mercedes;29;11;45;S;58;2;41;W;-999;C;D
AR;RMA10 - Espora;38;44;4;S;62;9;49;W;-999;C;D
HR;Puntijarka;45;54;28;N;15;58;6;E;992;S;S
